Skills,Description,Percentage of new career starts,Percentage of pay increase or promotion,Estimated Time to Complete,Instructors
,"Sports play a giant role in contemporary society worldwide. But few of us pause to think about the larger questions of money, politics, race, sex, culture, and commercialization that surround sports everywhere. This course draws on the tools of anthropology, sociology, history, and other disciplines to give you new perspectives on the games we watch and play.  It's the new and improved version of Professor Orin Starn's original ""Sports and Society"" for Coursera, which drew more than 40,000 students.  We will focus on both popular sports like soccer (or “football,” as anyone outside America calls it), basketball, and baseball, and also lesser-known ones like mountain-climbing and fishing.  You will never watch or think about sports in the same way again.",Missing,Missing,Approx. 11 hours to complete,Orin StarnTop Instructor
"Venture Capital,Finance,Value Proposition,Entrepreneurship,Opportunity Identification,Management,Innovation,Market Research,Business Model,Business Modeling,Investor,Investment","Develop your entrepreneurial mindset and skill sets, learn how to bring innovations to market, and craft a business model to successfully launch your new business.

The Entrepreneurship Specialization examines the entrepreneurial mindset and skill sets, indicators of innovation opportunities, critical steps to bring innovations to the marketplace, and innovation strategies to establish and maintain a competitive advantage. Fundamentals of new venture financing are explored with attention to capital structures for new ventures, term sheets and how to negotiate them, and the differences between early-stage versus later-stage financing. You will develop an understanding of how to develop winning investor pitches, who and when to pitch, how to avoid common mistakes, and how to ‘get to the close’. In the final Capstone Project, you will apply the tools and concepts from the specialization courses by crafting a comprehensive, customer-validated business model, and creating a business plan and investor pitch.",83.0,43.0,Approx. 5 months to complete,"Dr. James V. Green,Dr. Thomas J. Mierzwa,Michael R. Pratt"
"Information Security (INFOSEC),Information Technology (IT) Management,Audit,Risk Management,Change Management","Information systems (IS) are important assets to business organizations and are ubiquitous in our daily lives. With the latest IS technologies emerging, such as Big Data, FinTech, Virtual Banks, there are more concerns from the public on how organizations maintain systems’ integrity, such as data privacy, information security, the compliance to the government regulations. Management in organizations also need to be assured that systems work the way they expected. IS auditors play a crucial role in handling these issues.

In the course “Information Systems Auditing, Controls and Assurance”, you will explore risks of information systems, and how to mitigate the risks by proper IS Controls. You will also get familiar with the IS Audit procedures and how they are applied during the IS development throughout the Systems Development Life Cycle (SDLC). 

Finally, you will get to observe how we can make the system changes more manageable using formal IS Management practices, such as Change Management Controls and Emergency Changes. 

The conversations between the course instructor - Prof. Percy Dias, and the IS auditing practitioner will give you a concrete idea on how IS auditors perform their duties, the qualities to become IS auditors and future prospects of IS auditing industry.

This course is suitable for students and graduates from Information Systems, Information Technology and Computer Science, and IT practitioners who are interested to get into the IS auditing field. It is also a good starting point for learners who would like to pursue further studies for IS audit certifications – such as Certified Information Systems Auditor (CISA).",Missing,Missing,Approx. 9 hours to complete,Garvin Percy DIAS
,"As the Internet was the first digital medium for information, blockchain is the first native digital medium for value. Blockchain is poised to transform the economy and society at large—redefining the ways we transact online, share ideas, and manage workflows. The financial services sector is a key lever in such transformations.

This four-course specialization introduces learners to the world of blockchain technology for financial services—including what blockchain is, how it works, and why it is revolutionary. Students learn about various categories of cryptoassets and the ways they can be transacted on a blockchain. They learn how blockchain is transforming the economy and society at large—redefining workflows, global payments, and prosperity. As an outcome of this specialization, students produce a Strategic Action Plan wherein they identify and evaluate a promising application of blockchain technology within the financial services industry.

The Specialization is taught by Don Tapscott and Alex Tapscott, globally-recognized authorities on innovation and technology and authors of the best-selling book, “Blockchain Revolution.” It also includes various industry experts and practitioners who will share their experiences within the blockchain ecosystem.",Missing,Missing,Approx. 5 months to complete,"Don Tapscott,Alex Tapscott"
"Creativity,Adobe Illustrator,History,Graphics,Adobe Indesign","Typography is the art of manipulating the visual form of language to enrich and control its meaning. It’s an essential area of skill and knowledge for graphic designers. Typography predates modern graphic design by around 500 years; it is rich in rules, conventions, and esoteric terminology—but it remains an exciting space for invention and expression.In this rigorous introductory course, we will study, name, and measure the characteristics of letterforms. We’ll consider the pragmatic concerns involved in selecting and combining type. We’ll peek into the  rich historical, cultural, and aesthetic histories of familiar typefaces. We’ll discuss time-tested conventions and best practices in setting type, as governed by principles of hierarchy and spatial organization. And we’ll explore the expressive, meaning-making potential of type. 

Informative lectures will be complemented by a series of three peer-assessed assignments, culminating  in an opportunity to design a full-scale typographic poster.

Please note that this is not a software course; a basic working knowledge of Adobe InDesign or other  page layout software will be assumed. You will need access to a computer and page layout software, such as InDesign, to complete the assignments.",Missing,Missing,Approx. 9 hours to complete,Anther Kiley
,"This class deals with the business law topics that appear on the CPA exam: Agency, Contracts, Debtor-Creditor Relationships, Government Regulation of Business, and Business Organizations. Students will gain an understanding of how these areas of the law affect businesses and their operations, with an eye on preparation for the business law portions of the REG section of the CPA exam. By the end of the class, students will be able to identify the legal principles that govern various business situations and apply those principles to an issue to determine the outcome when the law is applied to the facts of a scenario.",Missing,Missing,Approx. 23 hours to complete,Professor Michael R Fricke
"Training,Coaching,Planning,Training Programs","Seventy percent of kids drop out of sports before their high school graduation. Only 15% leave because they feel they are not good enough. Almost 70% leave because they were not having fun, or due to problems with the coach. Injuries cause 30% to give up sports. This course is packed full of practical sports science information that provide youth coaches and parents with the practical pediatric sports science insights to successfully retain young athletes and develop their sport potential while avoiding injury and overtraining. We begin by examining the multidimensional nature of coaching, the relevant sport motor performance abilities, the impact of growth and development on motor skills, the gene versus practice controversy, and briefly overview the body structures strengthened through training. Then we explore the athlete's energy supply, where this energy comes from, and how it matures along with the athlete. Finally, we examine the development of strength, power, anaerobic capacity, coordination and flexibility through the life span.The optional text manual for this course is available at: http://www.learnitez.com/HighPerformanceScience/manuals/",Missing,Missing,Approx. 14 hours to complete,Dr. Chris Brooks
"Creativity,Business Model,Entrepreneurship,Innovation Management,Innovation,Business Value,Management,Disruptive Innovation,Emotional Intelligence,Personal Productivity,Adaptibility,Problem Solving","In a world characterized by volatility, uncertainty, complexity, and ambiguity, leaders require innovation skills. Thinking flexibly and developing an entrepreneurial mindset are critical to thriving in uncertain business environments. This specialization addresses how to recognize and question assumptions and constraints so as to identify and capitalize on opportunities. Innovation is needed within existing organizations and to found new organizations. Learning to change the rules of the game by creating innovative value propositions and discovering new market positions for sustained competitive advantage are some of the actionable lessons in this specialization.

This specialization will be of value to both aspiring and practicing entrepreneurs as well as employees in established firms who are interested in becoming innovative leaders in an interconnected world.",33.0,33.0,Approx. 8 months to complete,"E. Geoffrey Love,Thomas E. Parkinson,Raj Echambadi,Jeffrey Loewenstein,Jack Goncalo,Jeff Flesher"
"Basic Descriptive Statistics,Market Segmentation,Microsoft Excel,Marketing,Data Analysis","In this specialization you will learn how to:

• Find, extract, organize and describe data to support business decisions

• Identify, quantify and interpret relationships between variables

• Derive customer insights from your data

• Develop spreadsheet models to analyze data, evaluate risk and optimize business decisions

• Present and justify a course of action to management

The capstone project will give you an opportunity to apply what has been covered in the specialization to solve a marketing analytics problem.",50.0,50.0,Approx. 7 months to complete,David Schweidel
"Lookup Table,Data Analysis,Microsoft Excel,Pivot Table","The use of Excel is widespread in the industry. It is a very powerful data analysis tool and almost all big and small businesses use Excel in their day to day functioning. This is an introductory course in the use of Excel and is designed to give you a working knowledge of Excel with the aim of getting to use it for more advance topics in Business Statistics later. The course is designed keeping in mind two kinds of learners -  those who have very little functional knowledge of Excel and those who use Excel regularly but at a peripheral level and wish to enhance their skills. The course takes you from basic operations such as reading data into excel using various data formats, organizing and manipulating data, to some of the more advanced functionality of Excel. All along, Excel functionality is introduced using easy to understand examples which are demonstrated in a way that learners can become comfortable in understanding and applying them.To successfully complete course assignments, students must have access to a Windows version of Microsoft Excel 2010 or later. 
________________________________________
WEEK 1
Module 1: Introduction to Spreadsheets
In this module, you will be introduced to the use of Excel spreadsheets and various basic data functions of Excel.

Topics covered include:
•	Reading data into Excel using various formats
•	Basic functions in Excel, arithmetic as well as various logical functions
•	Formatting rows and columns
•	Using formulas in Excel and their copy and paste using absolute and relative referencing
________________________________________
WEEK 2
Module 2: Spreadsheet Functions to Organize Data
This module introduces various Excel functions to organize and query data. Learners are introduced to the IF, nested IF, VLOOKUP and the HLOOKUP functions of Excel. 

Topics covered include:
•	IF and the nested IF functions
•	VLOOKUP and HLOOKUP
•	The RANDBETWEEN function
________________________________________
WEEK 3
Module 3: Introduction to Filtering, Pivot Tables, and Charts
This module introduces various data filtering capabilities of Excel. You’ll learn how to set filters in data to selectively access data. A very powerful data summarizing tool, the Pivot Table, is also explained and we begin to introduce the charting feature of Excel.

Topics covered include:
•	VLOOKUP across worksheets
•	Data filtering in Excel
•	Use of Pivot tables with categorical as well as numerical data
•	Introduction to the charting capability of Excel
________________________________________
WEEK 4
Module 4: Advanced Graphing and Charting
This module explores various advanced graphing and charting techniques available in Excel. Starting with various line, bar and pie charts we introduce pivot charts, scatter plots and histograms. You will get to understand these various charts and get to build them on your own.

Topics covered include
•	Line, Bar and Pie charts
•	Pivot charts
•	Scatter plots
•	Histograms",Missing,Missing,Approx. 20 hours to complete,Sharad Borle
,"Extreme weather events, wars, famine and environmental destruction are just a few of the wicked problems faced by humanity. That’s why in 2015 the United Nations adopted the 2030 Agenda for Sustainable Development. This agenda includes 17 Sustainable Development Goals (SDGs) that target the big challenges such as how to eliminate poverty, how to protect the environment and how to bring about peace. Every member state committed to achieving these goals by 2030. 

What can businesses do to counter climate change and create a sustainable business culture? Why is this relevant for business anyway? Explore how business can contribute to a better future for people AND the planet without giving up profits. 

This course has been developed by Rotterdam School of Management at Erasmus University (RSM). It focuses on the role of businesses in achieving the SDGs. You will gain insights from leaders of international companies and academics in business and management who will guide you through the issue of how businesses can contribute to the SDGs. 

The course received a 'MOOC Award of Excellence' by the Sustainable Development Solutions Network and the SDG Academy in September 2019 (https://www.unsdsn.org/2019-sdsn-awards-of-excellence-winners-announced)

After completing this course you will: 
•	know what the SDGs are, why they are important and how each individual can be an agent for positive change in the world; 
•	understand the role of business in the transition to sustainable development to create a prosperous future for all; 
•	be able to identify interconnectedness of the SDGs and the challenges behind solving them; 
•	know how management insights can contribute to the SDGs; 
•	be able to evaluate the effectiveness of current business strategies in contributing to the SDGs; 
•	develop a positive, critical, aware and courageous attitude towards the SDGs. 

The course consists of seven units, each focusing on several aspects of sustainable development and taking one week to complete. 

You will study by watching videos, reading literature and by engaging in other activities such as weekly challenges. 
Assignments will consist of quizzes, discussions with your fellow students, and challenges to implement in your daily life.

Are you ready to find out how you can be an agent for positive change? Register now!",Missing,Missing,Approx. 15 hours to complete,"Eva Rood,Steve Kennedy,Rob van Tulder,Dirk Schoenmaker,Mallory Flowers,Frank Wijen,Heleen Tiemersma,Marta Szymanowska,Erik van Raaij,Yashar Ghiassi-Farrokhfal,Tobias Brandt,Michaéla Schippers,Steef van de Velde,René de Koster,Ying Zhang,Ferdinand Jaspers,Anne-Kathrin Klesse,Marieke de Wal,Gabriele Jacobs,Amanda Williams,Cees van Dam,Dianne Bevelander"
,"The Kotlin programming language is a modern language that gives you more power for your everyday tasks. Kotlin is concise, safe, pragmatic, and focused on interoperability with Java code. It can be used almost everywhere Java is used today: for server-side development, Android apps, and much more. Kotlin is 100% compatible with all existing Java frameworks, and has good tooling support. It’s a pragmatic language with a very low learning curve, and can be quickly grasped by Java developers. Kotlin code might be compiled not only to JVM bytecode but to JavaScript and Native code as well, but this course is focused on Kotlin/JVM.This course aims to share with you the power and the beauty of Kotlin. We'll have a basic overview of the language, as well as a discussion of many corner cases, especially concerning Java interoperability. The course is based on your Java experience; it shows the similarities between the two languages and focuses on what's going to be different. 
Note that this course won't cover the programming fundamentals. We'll discuss: basic syntax, nullability, functional programming with Kotlin, object-oriented programming with Kotlin, the power of the Kotlin standard library, and Java interoperability.",Missing,Missing,Approx. 25 hours to complete,"Svetlana Isakova,Andrey Breslav"
"Adobe XD,Adobe Illustrator,InVision,Marvel,Adobe Indesign","This hands-on course examines how content is organized and structured to create an experience for a user, and what role the designer plays in creating and shaping user experience. You will be led through a condensed process that acts as a roadmap for developing robust UI/UX design: from ideation and sitemapping, to the creation of paper and digital prototypes. Building on the design skills learned in Visual Elements of User Interface Design, you will apply this methodology to produce a digital prototype for a multi-screen app of your own invention.By the end of this course, you will be able to describe and apply current best practices and conventions in UX design, and employ the fundamental principles of how UX design functions to shape an audience's experience of a given body of content.
This is the second course in the UI/UX Design Specialization, which brings a design-centric approach to user interface (UI) and user experience (UX) design, and offers practical, skill-based instruction centered around a visual communications perspective, rather than on one focused on marketing or programming alone.

These courses are ideal for anyone with some experience in graphic or visual design and who would like to build their skill set in UI or UX for app and web design. It would also be ideal for anyone with experience in front- or back-end web development or human-computer interaction and want to sharpen their visual design and analysis skills for UI or UX.",Missing,Missing,Approx. 14 hours to complete,Michael Worthington
"Experience with video production is helpful,video terminology and while not required,Basic understanding of macOS helpful","This course unravels the post-production world for editors. Students will dive into the key features of Apple’s Final Cut Pro software for Video and Audio Editing and learn elements for creating professional videos with the use of transitions and effects, titles and motion graphics, color correction, 360 Video and Media Management.This self-paced course prepares students to pass the Final Cut Pro X certification exam. Learn at your own pace, retake the lessons as needed, and practice alongside the Apple Certified Trainer.

We recommend that you have a basic understanding of macOS, video terminology and while not required, experience with video production and workflow is helpful.

This course was developed by LearnQuest in association with two highly experienced Apple Certified Trainers and editors.",Missing,Missing,Approx. 29 hours to complete,Jason Cox with Nick Harauz
"Project Management,Change Control,Risk Management,Change Management","This course will help you manage project risk effectively by identifying, analyzing, and communicating inevitable changes to project scope and objectives. You will understand and practice the elements needed to measure and report on project scope, schedule, and cost performance. You will be equipped with the tools to manage change in the least disruptive way possible for your team and other project stakeholders.Upon completing this course, you will be able to:
1.       Define components of a communications management plan
2.       Understand the importance of communications channels
3.       Define the key elements needed to measure and report on project scope, schedule, and cost performance
4.       Identify project risk events
5.       Prioritize identified risks
6.       Develop responses for a high priority risk
7.       Identify and analyze changes to project scope
8.       Describe causes and effects of project changes
9.       Define the purpose of conducting a lessons learned session",Missing,Missing,Approx. 6 hours to complete,"Margaret  Meloni,  MBA, PMP"
"Version Control,Github,Bitbucket,Command-Line Interface","The Version Control with Git course provides  you with a solid, hands-on foundation for understanding the Git version control system.  Git is open source software originally created by Linus Torvalds. Git manages team files for large and small projects. This allows the team to continuously improve its product. It is used by most major technology companies, and is assumed knowledge for many modern programming and IT jobs.  It is a core component of DevOps, continuous delivery pipelines and cloud-native computing. You could also use Git to manage the many continuously improving revisions of that book that you are writing. In this course, you will not learn everything there is to know about Git, but you will build a strong conceptual understanding of the technology, and afterward will be able to confidently dig deeper on any topic that interests you. This course assumes no previous knowledge of Git, but if you do have experience with it, you may find this course to be both useful and challenging. This is especially true if you currently ""know just enough Git to be dangerous"". 

There are two paths in this course. Both rely heavily on hands-on labs. One path assumes that you have experience using a command line interface, and the other path uses the Sourcetree graphical client. If you are not experienced with a command line, we highly suggest that you go through the Sourcetree path. Eventually, you might want to go through both paths, so that you can decide which tool to use for specific tasks. Besides, repetition is good for learning :)

You can watch the videos and take the quizzes from your phone if you want, but the hands-on labs require you to have a Windows or Mac computer. If you use the command line path through the course, you can also use Linux. 

This course uses Bitbucket (bitbucket.org) as the hosted provider for remote Git repositories. Bitbucket is free for teams of up to 5 people, including private repositories. However, most of the knowledge that you gain in this course applies to Git itself, and you can apply this knowledge to other hosted Git providers (such as GitHub). 

This course tries to be as concise as possible. It will probably take you about 5-10 hours to go through one of the two paths, but your mileage may vary.",Missing,Missing,Approx. 14 hours to complete,Steve Byrnes
,"Through a series of engaging metaphors and stories, prospective and current EFL/ESL teachers will identify, summarize, and evaluate 7 basic language learning paradigms.  Learners will be presented information on such foundational principles as motivation, risk taking, two different modes of learning, and balancing the teacher profession.  Learners are also given an understanding of basic techniques founded on those principles, such as teacher talk, looking “ridiculous” in order to lower the affective filter, and networking.   With these foundational principles in mind, ESL/EFL teachers will scrutinize common assumptions about language learning by comparing how they stack up to research-based core principles.",Missing,Missing,Approx. 20 hours to complete,"Dr. Justin ShewellTop Instructor,Dr. Shane DixonTop Instructor,Andrea Mürau HarawayTop Instructor,Emilia GraciaTop Instructor"
"User Research,Heuristic Evaluation,Paper Prototyping,User Interface,Usability,User Interface Design (UI Design),Design Theory","In this Specialization, you will learn industry-standard theory and methods for developing successful user interfaces (UIs). Upon completing this Specialization, you will have fluency with the user research, prototyping and evaluation techniques necessary for creating intuitive interfaces that facilitate good user experiences. You will also have demonstrated this fluency through an in-depth Capstone Project that can be shown to prospective employers in the fast-growing field of UI design.

Concepts and techniques covered include structured approaches for helping you understand your user base and their needs (e.g. contextual inquiry and design psychology), widely-employed prototyping and design methods (e.g. low-fidelity and paper prototyping), and robust techniques for helping you evaluate your design choices (e.g. heuristic evaluation and user studies). By the end of the Specialization, you will be comfortable applying these concepts and techniques to design an interface for a wide variety of users from around the world.",67.0,50.0,Approx. 6 months to complete,"Loren Terveen,Joseph A Konstan,Lana Yarosh,Dr. Brent Hecht,Haiyi Zhu"
"Statistics,Normal Distribution,summary measures,binary data","Biostatistics is the application of statistical reasoning to the life sciences, and it is the key to unlocking the data gathered by researchers and the evidence presented in the scientific literature. In this course, we'll focus on the use of statistical measurement methods within the world of public health research. Along the way, you'll be introduced to a variety of methods and measures, and you'll practice interpreting data and performing calculations on real data from published studies.  Topics include summary measures, visual displays, continuous data, sample size, the normal distribution, binary data, the element of time, and the Kaplan-Meir curve.",Missing,Missing,Approx. 14 hours to complete,"John McGready, PhD, MS"
"Project Management,Critical Thinking,Management,IT Skills and Knowledge,Finance and accounting skills and knowledge,Business analysis skills and knowledge,Project management skills and knowledge","This specialization provides a robust introduction to the key principles and practices of Information Systems Management.

The first course describes how Information Systems address business problems. This takes the form of an IT alignment model that describes how Information Systems provide capabilities that enable or support organizational strategy. This component also includes an economic analysis of the Information System.

The second course in the specialization entails the practice of modeling information systems. The goal of this course is to describe the Information System defined in the first course, so that the Information System can be developed.

The third course provides an overview of the capabilities of modern enterprise systems. The goal of this course is to understand the capabilities of enterprise systems, so that the firm can decide if the requirement identified in the second course can be met by an enterprise system. Managerial aspects related to the selection and implementation of enterprise systems will also be discussed.

The fourth course in the specialization describes the IT infrastructure choices available to a modern enterprise and the tradeoffs associated with each alternative. Any large Information System implementation is a significant organizational change initiative that requires careful stewardship.

All the courses will deal with the issue of change management and discuss strategies and approaches for achieving a successful implementation.",Missing,Missing,Approx. 5 months to complete,"Gautam Ray,Ken Reily,Jason Chan,Soumya Sen"
"Python Syntax And Semantics,Python Libraries,Computer Programming,Python Programming","The goal of the course is to introduce students to Python Version 3.x programming using hands on instruction. It will show how to install Python and use the Spyder IDE (Integrated Development Environment) for writing and debugging programs. The approach will be to present an example followed by a small exercise where the learner tries something similar to solidify a concept.  At the end of each module there will be an exercise where the student is required to write simple programs and submit them for grading.  It is intended for students with little or no programming background, although students with such a background should be able to move forward at their preferred pace.The course is four modules long and is designed to be completed in four weeks.",Missing,Missing,Approx. 18 hours to complete,Bill Boyd
,"Energy issues have always been important in international relations, but in recent years may have become even more important than in the past due to the widespread awareness of existing limits to energy sources and negative climate impacts. The course discusses global trends in energy consumption and production, various available scenarios for potential developments in the coming decades, the availability of oil reserves and the evolution of the oil industry. It then discusses natural gas and highlights the differences between oil and gas. It will also discuss renewable energy sources, nuclear energy and EU energy policy.The course aims at providing students whose main interest is in international relations a background on energy resources, technology and economic realities to allow them to correctly interpret the political impact of current developments. It also aims at providing students, who already have a technical background in energy science or engineering, with the broad global view of energy issues that will allow them to better understand the social, economic and political impact of their technical knowledge.


ABOUT THE INSTRUCTOR :

Giacomo Luciani

Scientific Advisor for the Master in International Energy at the Paris School of International Affairs (PSIA) Sciences Po, Giacomo Luciani is also Adjunct Professor at the Graduate Institute of International and Development Studies, Geneva and Director of the Executive Master in International Oil and Gas Leadership. For the period 2010-13 he was appointed Princeton University Global Scholar, attached to the Woodrow Wilson School and the Department of Near Eastern Studies. His research focuses on the political economy of the Middle East and North Africa and on global energy issues.

RECOMMENDED BACKGROUND :

The course requires no special scientific, mathematical or economic background; all key concepts are clearly and elementarily explained. It is expected that it will be of interest to undergraduate and graduate students in schools where an equivalent course is not offered (this being the case for the vast majority of schools).


USPC
Sorbonne Paris Cité
Supported by Université Sorbonne Paris Cité


IDEX
Investissements d'Avenir
Funded by Investissements d'Avenir - 'ANR.

Info : 
Course content : Licence Creative Commons BY NC SA",Missing,Missing,Approx. 28 hours to complete,Giacomo Luciani
"Personal Branding,Social Media,Management,Brand Management","Though the concept of personal branding isn't new, questions remain about how to create one and, more importantly, what it means to maintain and inhabit that brand. Learners will:

o	Understand both what personal branding means and what it means to inhabit their brand
o	Establish themselves on at least three social media platforms 
o	Create a mission statement for their personal brand
o	Build a board of directors for their brand
o	Become familiar with the basics of digital security and reputation management
o	Create a system for on-going brand maintenance 

Join instructor Kimberley R. Barker as she provides a warm, supportive atmosphere in which learners are encouraged to intensively explore themselves in order to create a personal brand that authentically and effectively communicates their values and professional gifts. Together we will build a strong community in which to provide encouragement and feedback, and support each other as learners pursue their goal of successful brand creation.",Missing,Missing,Approx. 5 hours to complete,"Kimberley  Barker, MLIS"
"Evaluation,Interpretation,Language,Linguistics","How to Understand ArgumentsThink Again: How to Reason and Argue
Reasoning is important. This series of four short courses will teach you how to do it well. You will learn simple but vital rules to follow in thinking about any topic at all and common and tempting mistakes to avoid in reasoning. We will discuss how to identify, analyze, and evaluate arguments by other people (including politicians, used car salesmen, and teachers) and how to construct arguments of your own in order to help you decide what to believe or what to do. These skills will be useful in dealing with whatever matters most to you.

Courses at a Glance:
All four courses in this series are offered through sessions which run every four weeks. We suggest sticking to the weekly schedule to the best of your ability. If for whatever reason you fall behind, feel free to re-enroll in the next session.We also suggest that you start each course close to the beginning of a month in order to increase the number of peers in the discussion forums who are working on the same material as you are. While each course can be taken independently, we suggest you take the four courses in order.

Course 1 - Think Again I: How to Understand Arguments
Course 2 - Think Again II: How to Reason Deductively
Course 3 - Think Again III: How to Reason Inductively
Course 4 - Think Again IV: How to Avoid Fallacies

About This Course in the Series:
When is someone giving an argument instead of just yelling? Which parts of what they say contribute to the argument? Why are they arguing instead of fighting? What are arguments made of? What forms do they take? Think Again: How to Understand Arguments will answer these questions a more. 

In this course, you will learn what an argument is. The definition of argument will enable students to identify when speakers are giving arguments and when they are not. Next, we will learn how to break an argument into its essential parts, how to put them in order to reveal their connections, and how to fill in gaps in an argument. By the end of this course, students will be better able to understand and appreciate arguments that they and other people present.

Suggested Readings:
Students who want more detailed explanations or additional exercises or who want to explore these topics in more depth should consult Understanding Arguments: An Introduction to Informal Logic, Ninth Edition, Concise, Chapters 1-5, by Walter Sinnott-Armstrong and Robert Fogelin.

Course Format:
Each week will be divided into multiple video segments that can be viewed separately or in groups. There will be short ungraded quizzes after each segment (to check comprehension) and a longer graded quiz at the end of the course.",Missing,Missing,Approx. 16 hours to complete,"Dr. Walter  Sinnott-Armstrong,Dr. Ram  Neta"
"Brand Management,Choosing Advisors,Brand,Entrepreneurship,Strategic Management","Once you have a prototype and a clearer vision of the opportunity, you’ll need to create a small organization to discover how to create a repeatable and scalable business model. Designed to provide you with a comprehensive overview of the critical components of creating a start-up, Entrepreneurship 2: Launching the Start-up, provides practical, real-world knowledge about the lean approach, the minimum viable product, when to pivot, when to quit your day job, the art of the pitch, building and managing a team, allocating equity, and building your external team, advisory board members, professional services, and entrepreneurial strategy. At the end of this course, you’ll be able to create a strategy for launch, including knowing who you need to hire, how to manage them to provide the greatest value, and what legal aspects are involved. You’ll also be prepared for Entrepreneurship 3: Growth Strategies.",Missing,Missing,Approx. 8 hours to complete,"Kartik Hosanagar,Lori Rosenkopf,David Hsu,Ethan Mollick,David Bell,Karl  T. Ulrich"
,"Lean, Six Sigma, PDCA, Kaizen, Juste à temps, Kanban sont des termes gestionnaires que nous entendons très souvent dans le vocable des entreprises d’aujourd’hui. Ils ont en commun leur finalité, celle de l’excellence opérationnelle.D’origine japonaise et diffusées depuis dans le monde entier, les techniques d’Excellence Opérationnelle servent la qualité et l’amélioration continue. Mais l’Excellence Opérationnelle ne se résume pas à une boîte à outils, c’est avant tout une culture et une posture managériale qui vise l’excellence en permanence.

En partenariat avec la chaire Innovation Managériale et Excellence Opérationnelle (IMEO) de l’ESSEC, des professionnels de l’Excellence Opérationnelle issus de deux groupes industriels internationaux, Orano et Renault-Nissan Consulting, nous présentent les principaux outils de l’Excellence opérationnelle avec toute leur expérience.

A la fin de ce Mooc, vous saurez : 
- Expliquer ce que recouvre la notion d’Excellence Opérationnelle
- Mobiliser les démarches et outils de l’Excellence Opérationnelle
- Intégrer l’Excellence Opérationnelle dans les démarches managériales et les projets de l’entreprise 

Bon MOOC et profitez bien de l’expérience des professionnels des entreprises Orano et Renault-Nissan Consulting.",Missing,Missing,Approx. 7 hours to complete,"Gilles PANCZER,David AUTISSIER,Jean-Marie PERETTI,Jean-Christophe PATOUT,Sylvain D’HOOGHE,Patricia BEAUMONT"
"Deploying and scheduling bot execution,Designing automation blueprint,Creating RPA bots using Automation Anywhere,Analyzing bot data for business insights,Identifying suitable business processes for automation,Analyzing technical and financial possibilities,Problem Solving,Effort estimation of process automation,Identifying business processes for automation,Designing RPA technical specification documents,Creating RPA bots,Integrating version controls","The explosive growth of Robotic Process Automation (RPA) in the past few years has created a tremendous demand to learn and become skilled in this exciting technology. This four course Specialization is designed to introduce RPA, provide a foundation of the RPA lifecycle--from design to bot deployment--and implement RPA with cognitive automation and analytics. Experienced and novice users and developers of RPA will all benefit from completing this Specialization. If you are interested in starting a career in automation or boosting your profile in it, now’s the time and here’s the place!

With RPA, companies can deploy software robots to automate repetitive tasks, improving business processes and outcomes. When used in combination with cognitive automation and automation analytics, RPA can help transform the nature of work, adopting the model of a Digital Workforce for organizations. This allows human employees to focus on more value-added work, improve efficiency, streamline processes, and improve key performance indicators.",Missing,Missing,Approx. 4 months to complete,"Automation Anywhere, Inc."
"Learning To Learn,Organizing (Management),Pomodoro Technique,Meta Learning","Este curso te brinda acceso a invaluables técnicas de aprendizaje utilizadas por expertos en arte, música, literatura, matemáticas, ciencia, deportes y muchas otras disciplinas. Aprenderemos cómo el cerebro utiliza dos modos de aprendizaje muy distintos y cómo encapsula (“fragmenta”) la información. También hablaremos sobre ilusiones de aprendizaje, técnicas de memoria, cómo ocuparse de la procrastinación y las mejores prácticas, según lo demuestra la investigación, para ayudarte a dominar los temas más complicados.Con estos enfoques, más allá de tus niveles de destreza en los temas que quieras dominar, puedes cambiar tu pensamiento y tu vida. Si ya eres un experto, este vistazo de la maquinaria cerebral te dará ideas para disparar un nuevo aprendizaje poderoso, con consejos contraintuitivos para presentar exámenes y perspectivas que te ayudarán a aprovechar al máximo el tiempo que dedicas a las tareas y a la resolución de problemas. Si estás teniendo dificultades, descubrirás un cofre del tesoro estructurado con técnicas prácticas que te orientan acerca de lo que debes hacer para mejorar. Si alguna vez deseaste ser mejor en algún ámbito del aprendizaje, este curso te servirá como guía.

Este curso también está disponible otros idiomas:
Para unirte a la versión en inglés, visita: https://www.coursera.org/learn/learning-how-to-learn
Para unirte a la versión en portugués, visita: https://www.coursera.org/learn/aprender
Para unirte a la versión en chino, visita: https://www.coursera.org/learn/ruhe-xuexi",Missing,Missing,Approx. 21 hours to complete,"Dr. Barbara OakleyTop Instructor,Dr. Terrence SejnowskiTop Instructor,M.Sc. Orlando TrejoTop Instructor"
